Date,Market Cap,rsi,macd,macd_signal,obv,ichimoku,mfi,bb_high_indicator,bb_low_indicator
1514674800,0.6632898041031333,0.3349733713048297,0.590647054433724,0.9170436737151643,-1.7427432635167632,0.8556008524320484,0.42376396662009547,0.0,0.0
1514588400,0.7549618109958576,0.18470826406750482,0.4546687493918067,0.8449774060053984,-2.2542406833084003,0.84953662092945,0.37050161081133737,0.0,0.0
1514502000,0.7555873073302651,0.5937234849076554,0.42901706902271325,0.7810752768871931,-1.7932502980838754,0.84953662092945,0.422128837184231,0.0,0.0
1514415600,0.8155613676293383,0.5813187638915865,0.401511417943318,0.7232366472260953,-2.229856024337942,0.8480785134781471,0.42771405497162457,0.0,0.0
1514329200,0.8308553662373023,0.7745537199418461,0.43772854881701134,0.6858805569545501,-1.7879026609714863,0.8242851908625266,0.416035985058955,0.0,0.0
1514242800,0.7214486985690238,0.8049268754573217,0.4743372822208664,0.6649923578933389,-1.3117364531540265,0.8281929188320186,0.4825256725526008,0.0,0.0
1514156400,0.7192901229836175,0.32810397099292343,0.3924925481633247,0.6282072283708396,-1.6891748748118507,0.8281929188320186,0.41544202543653297,0.0,0.0
1514070000,0.750669189093061,0.31451601786705796,0.31878397561650634,0.5807054842481171,-2.0987345105213255,0.8281929188320186,0.3450789670086962,0.0,0.0
1513983600,0.7167084175249355,0.5432939684655211,0.2966749054141184,0.5372895612841279,-1.6356029469692064,0.8281929188320186,0.3179658506543727,0.0,0.0
1513897200,0.8167663679206233,0.3520984666071856,0.23189597753518032,0.48667463105916503,-2.4212207406211967,0.8323131566156952,0.3279781851457531,0.0,0.0
1513810800,0.8549277766364854,0.7181418516710567,0.2787202424433204,0.4576725926714552,-1.8366755180501333,0.8568108572924067,0.42911752826526944,0.0,0.0
1513724400,0.9122618744653386,0.7957408217008617,0.3540246898148815,0.4529416766321894,-1.0527671279224873,0.864659214117471,0.5377128187751236,0.0,0.0
1513638000,0.9819127309967162,0.8750326048567779,0.46762241844055813,0.4770153613340201,-0.45484750386385364,0.8856230605301529,0.6274567333894683,0.0,0.0
1513551600,0.9811707206392327,0.9310212171026628,0.6193955850202153,0.5334916239123486,0.07034283981119407,0.9256275470146185,0.6880847738528775,0.0,0.0
1513465200,1.0,0.9320491151716246,0.7325868002822791,0.6064266433356269,0.5415648722176626,0.9264231502598422,0.6967874040367172,0.0,0.0
1513378800,0.911801950690039,0.9487479573082004,0.8310837877751757,0.6889247513409331,0.992472254044969,0.9370890193292706,0.7592149543294535,0.0,0.0
1513292400,0.8521958294112055,0.3988960463812283,0.8074679618467161,0.7491298677617524,0.4860216446585387,0.9370890193292706,0.6892857293851594,0.0,0.0
1513206000,0.8409522261843804,0.2565401636408236,0.7214571581034558,0.7762020396482562,-0.001579517169595834,0.9370890193292706,0.6799952984417023,0.0,0.0
1513119600,0.8980778252350977,0.2390926932242068,0.6378960063483533,0.777369695183467,-0.4608498814565817,0.9895764010917112,0.6186478006739616,0.0,0.0
1513033200,0.868198110633131,0.5507400307622866,0.6165696486401797,0.773074532854898,0.0559987145851759,1.0,0.6233600520922711,0.0,0.0
1512946800,0.7915196188151751,0.42917224473834087,0.5683939905979304,0.7578257649793766,-0.37414454617105997,0.9905051033760797,0.6141207003720008,0.0,0.0
1512860400,0.7781358369539555,0.21195200287789862,0.44850977275730514,0.716231406267278,-0.8495675350648919,0.9579302351665607,0.6072375739667648,0.0,0.0
1512774000,0.8475322023296672,0.18558697138434346,0.3353123386008162,0.6552004726595255,-1.3419076023155871,0.9579302351665607,0.5504864144480426,0.0,0.0
1512687600,0.91306214183436,0.5906892125536184,0.31389329539097977,0.6011242306750401,-0.5938754513727784,0.9579302351665607,0.6400094690997474,0.0,0.0
1512601200,0.731585418576628,0.7678610634963525,0.3615246350175607,0.5695425475068213,0.04142454540660623,0.9340367143978765,0.6429680629894097,0.0,0.0
1512514800,0.6113613437133019,0.2879926673304393,0.21027048583744185,0.5071904440023834,-0.4064993433129939,0.9145474258795379,0.5726386931893432,0.0,0.0
1512428400,0.5990936435468095,0.17810588302645416,-0.03204793368327235,0.3978936085641666,-0.6505320916622516,0.9063640782143793,0.5179063968481181,0.0,1.0
1512342000,0.5800313361398904,0.16762258007571318,-0.23479808354542914,0.26074309975806265,-0.8675665278262935,0.8907271843571242,0.4611289579581793,0.0,0.0
1512255600,0.5680303917630718,0.15051813235115302,-0.40804983966115466,0.10854256242061229,-1.1014437204548357,0.8841529891202753,0.4000536486851158,0.0,0.0
1512169200,0.5626094235315401,0.13512400864412666,-0.5518503014256063,-0.04847669475156835,-1.2833023127911163,0.8841529891202753,0.3371721196975697,0.0,0.0
1512082800,0.5225837904464633,0.12734417070742673,-0.663286216955633,-0.20141534309670697,-1.523366272088201,0.8492376715145624,0.3614158079655996,0.0,0.0
1511996400,0.5075626799451771,0.07730531613783113,-0.7809965797984554,-0.35262799267248884,-1.8174930376312977,0.8345040565297043,0.3838482822550172,0.0,0.0
1511910000,0.5162399085058303,0.060677060761702956,-0.8819696925842232,-0.49835598954834004,-2.2269288035201678,0.8345040565297043,0.40049029049099516,0.0,0.0
1511823600,0.5031688748118145,0.19285558995643684,-0.9423151990494016,-0.629734640669589,-2.002235319391254,0.7805436123677422,0.3453642776981499,0.0,0.0
1511737200,0.4789983473405674,0.1493847563254562,-0.9911598352770874,-0.7468138955354803,-2.202314100597159,0.7450286013384678,0.3720827429817103,0.0,0.0
